"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"25",25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",46,NA,0.76,NA,NA,NA,NA,0.12,1.12,NA,NA,1.24,NA,1.24,NA,0.07,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",47,0.76,2.2,0.3,0.12,NA,0.28,0.94,2.54,0.08,1.04,4.24,3.07958158864776,4.6,1.12,0.216285714285714,0.743071428571429,0.0294956247046785,1.16438029271828,0.0924196240746594,0.72372782206841,-0.0533190138892266,NA,0.0231049060186648,NA,0.292682926829268,NA,0.0462098120373297,NA,0.725,0.666666666666667
"48",48,2.2,5.04,1.12,0.64,0.14,0.2,4.02,5.08,0.82,2.76,11.42,10.6882769732061,12.68,3.58,0.377343893035069,0.715375467669585,0.288314394857299,1.09705089171137,0.51108308341472,1.34010475299785,0.186580969362529,1.38238983110418,0.392964268722425,1.13457676557303,0.212666666666667,0.597095238095238,0.268142090657675,0.975965828499265,0.673611111111111,0.534666666666667
"49",49,5.04,3.08,1.56,0.58,0.16,0.9,3.1,2.98,3.26,4.58,11.86,11.4775707863797,13.92,7.84,0.460634236678354,0.43587989135048,0.562658865425591,0.51418294540098,1.173989127356,0.665700992787153,0.795617516499394,0.380762217299573,0.654411936609022,0.455967013474002,0.418452380952381,0.28,0.590961712958798,0.332489387932952,0.748263888888889,0.554761904761905
"50",50,3.08,1.96,1.24,0.84,0.7,0.18,1.6,0.72,1.6,5.96,6.08,6.14188080440583,9.88,7.56,0.327619685869686,0.233879703629704,0.254731751868034,0.120693174515466,0.729063887435266,0.319390820433901,0.785483870692609,0.0280236929431922,0.578327833538948,-0.0261920274759323,0.328047619047619,0.0646666666666667,0.405737874319627,0.0457755120278379,0.613475177304964,0.368690476190476
"51",51,1.96,1.32,0.46,0.16,0.38,0.08,7.82,0.66,2.02,4.66,12.18,8.11553212954059,15.16,6.68,0.651633535281368,0.562888849454639,0.397747401753577,0.161936257722207,0.773904854635833,0.474802428354945,0.462098120373297,0.192433335604918,0.698706273595514,0.250898986606417,0.595238095238095,0.331521739130435,0.593683973510673,0.279809836308209,0.741935483870968,0.373119047619048
"52",52,1.32,0.6,0.06,0.1,0.04,0,1.48,0.9,1.34,3.98,4.1,3.30015397114575,7.7,5.32,0.369461038961039,0.316230158730159,0.316717781419131,0.21349448575224,0.366204096222703,0,NA,0,0.57054352393348,0.456434819146784,0.84108527131783,0.720238095238095,0.223969933653507,0.317805383034795,0.375,0.123714285714286
"53",53,0.6,0,0,0,0,0,0.44,0.18,0.34,4.54,1.36,NA,5.5,4.88,0.140087301587302,0.122007936507937,0.0692482013166029,0.0561791273282131,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0.1095
"54",54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,0,0.92,0,0,0,0,0.88,1.42,0,4.72,2.8,NA,7.02,4.72,0.126150793650794,0.334111111111111,0,0.279902216800082,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.11652380952381
"57",57,0.92,0,0,0,0,0,0.08,0,0.92,5.22,1,NA,6.22,6.14,0.170761904761905,0.0158571428571429,0.171167823011938,0,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,0
"58",58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0,0,0,0,0,0,1,0,0,5.22,1,NA,6.22,5.22,0.170761904761905,0.170761904761905,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"61",61,0,0.34,0,0,0,0,0.06,0.44,0,5.22,1.06,NA,5.72,5.22,0.00971428571428571,0.0901984126984127,0,0.0921071633663661,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.108460317460317
"62",62,0.34,1.62,0.28,0.42,0,0.28,0.3,1.96,0.04,5.62,3.48,2.39048669500087,7.92,5.66,0.0434213564213564,0.285489177489177,0.00810930216216329,0.305993505307275,0,0.660462815613718,-0.272791786412063,NA,-0.0374674151654024,0.737997021454049,0.0263157894736842,0.456666666666667,0,0.322108713118082,0.4,0.225047619047619
"63",63,1.62,3.2,1.36,0.86,0.42,0.6,2.06,2.38,0.56,7.02,7.88,9.00455075139662,12.02,7.58,0.216700743700744,0.372848928848929,0.0762946539006003,0.301847112904113,0.140866099350084,0.806288429496666,-0.422621808745666,0.689424609050016,-0.138900456779556,0.407877237082992,-0.04,0.174690476190476,-0.0243279064864899,0.236987954031829,0.663333333333333,0.420920634920635
