"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"56",56,3.96,3.22,2.12,0.44,0.38,1.32,1.32,1.3,0.82,8.82,7.78,6.33028824577799,12.26,9.64,0.170734931734932,0.209909201909202,0.0900141530213296,0.138497440322418,0.670094052547603,0.470071882625607,0.172533898335489,0.26066521609767,0.137906655179672,0.243305013020198,0.139047619047619,0.152666666666667,0.177641298051183,0.198295631183098,0.835,0.498823953823954
"57",57,3.22,2.94,2.1,1.34,0.88,0.52,0.38,0.78,0.58,9.54,5.38,5.73264366956332,11.28,10.12,0.0831332556332556,0.0993717948717949,0.0615241530000712,0.0796765279116827,0.422363006245696,0.312831852661784,0.187364334478894,0.0997629220033718,0.160765617229435,0.00249245383851523,0.0653809523809524,0.0221904761904762,0.0818023761885544,0.0493605955888013,0.611666666666667,0.388598845598846
"58",58,2.94,2.36,0.72,0.36,0.7,0.9,1.04,1.34,1.48,8.84,7.86,6.24513325630936,12.7,10.32,0.195712814962815,0.182258075258075,0.15723911953194,0.140051099202818,0.92209291943832,0.748647040357285,0.277258872223978,0.263649022976874,0.551573665104911,0.365905076547087,0.376,0.281729834791059,0.497834757779203,0.348546213585831,0.689814814814815,0.462997113997114
"59",59,2.36,2.3,0.62,1.22,0.6,1.84,2.1,1.24,1.82,8.36,7.1,9.37918856523982,13.52,10.18,0.288829244285127,0.244396022278375,0.203607451841946,0.141660493416851,0.8008843948605,0.769574021290515,0.413997696155122,0.570222149202141,-0.0568981486139263,0.413989867212705,0.0299285714285714,0.225,0.0819571676304379,0.265785838829509,0.324275362318841,0.236745976245976
"60",60,2.3,1.98,0.84,0.64,1.92,0.08,3.56,0.78,3.1,6.5,9.4,8.57564279382763,13.94,9.6,0.477327672327672,0.31067695050048,0.391895418337819,0.114858777657147,0.684840179375902,0.572679513493705,0.588535517850207,-0.0954035548489799,0.585374441956389,-0.302177338468498,0.319333333333333,-0.02,0.352866114336021,0.00339798073590794,0.587121212121212,0.306714285714286
"61",61,1.98,0.66,0.32,0.12,0.14,0.06,0.82,0.04,2.38,4.9,5.8,3.74744341920826,8.14,7.28,0.387474747474747,0.103137085137085,0.402843154400696,0.00729286227175818,0.733211629273753,0,0.735882592521341,-0.315066900254521,0.79673197902527,0,0.729787234042553,0.282051282051282,0.767850846501939,0,0.727272727272727,0.542619047619048
"62",62,0.66,0.84,0.6,0.12,0.12,0.3,0.06,0,0.02,4.92,1.02,0.655305975112453,5,4.94,0.0153571428571429,0.0103571428571429,0.00575364144903562,0,0,0,0,0,-0.16529562646077,0,0.0540540540540541,0.145833333333333,0.0385081766977747,0,0.833333333333333,0.199428571428571
"63",63,0.84,0.92,0.8,0.02,0.42,0.04,0,0,0.04,4.88,1,0.646536506835928,4.92,4.92,0.00685714285714286,0,0.00754588462282936,0,0,0,0,0,0,-0.176973748228071,0.0465116279069767,0,0,0,0.975609756097561,0.208761904761905
"64",64,0.92,0.8,0.48,0,0.06,0.24,0.66,0.26,0.1,4.78,2.26,1.40189676633921,5.8,4.88,0.124761904761905,0.157619047619048,0.0214088282340283,0.057337676576677,0,0.173286795139986,-0.0385081766977747,0.165035042990463,0,0.138629436111989,0.239130434782609,0.352941176470588,0,0.166355323334387,1,0.267619047619048
"65",65,0.8,0.86,0.46,0.38,0.02,0.22,0.16,0.2,0.64,4.4,2.42,1.93518912874655,5.4,5.04,0.142904761904762,0.0587857142857143,0.145545386456093,0.0402980604108453,0.180821003624334,0.120547335749556,0.252053520203616,0.115524530093324,0.0330070085980926,0.232658271328523,0.119565217391304,0.232558139534884,0.0728635903497991,0.177936125494844,0.565789473684211,0.33852380952381
"66",66,0.86,0.98,0.26,0.16,0.34,0.66,0.64,0,0.98,3.62,2.78,1.67116734261723,5.24,4.6,0.301785714285714,0.114095238095238,0.263042399257217,0,0.15995704166768,0.213276055556906,0,0.126026760101808,-0.0611600453435246,0.134245535043172,0.191056910569106,0.33695652173913,0.0730854896996471,0.142706772468224,0.619047619047619,0.326333333333333
"67",67,0.98,0.42,0.22,0.16,0.6,0.08,1.12,0.08,1.24,2.38,2.9,1.68935045925956,4.82,3.62,0.499690476190476,0.230809523809524,0.453931255924805,0.0356165198632271,0.189040140152712,0,0,0,0.330070085980926,-0.252053520203616,0.569767441860465,0.111111111111111,0.165035042990463,-0.0630133800509041,0.583333333333333,0.209574468085106
"68",68,0.42,0.72,0.14,0.1,0.06,0.02,0.7,0.32,1.22,1.24,2.9,2.16394459212623,3.48,2.46,0.519571428571429,0.299285714285714,0.600501656635531,0.178446313205946,0.0990210257942779,0,0,0,0.126026760101808,0,0.543478260869565,0.675,0.0630133800509041,0,0.590909090909091,0.555555555555556
"69",69,0.72,0.16,0.06,0.18,0.04,0.08,0.08,0.08,0.84,0.72,1.18,0.898033418836862,1.72,1.56,0.53,0.09,0.569631481787405,0,0,0,0,-0.693147180559945,0.259930192709979,0,0.666666666666667,0.235294117647059,0.259930192709979,0,0.25,0.25
"70",70,0.16,0.7,0.16,0.1,0.26,0,0.28,0.14,0,0.8,1,0.635998176626792,1.22,0.8,0.17,0.31,0,0,0,0,0,0,0,0,0,0.45,0,0,0.615384615384615,0.725
"71",71,0.7,0.92,0.64,0.02,0.1,0.06,0.02,0.06,0,0.94,1,0.637515969814145,1.02,0.94,0.01,0.07,0,0,0,0,0,0,0,0,0,0.191489361702128,0,0,0.96969696969697,0.978723404255319
"72",72,0.92,0.9,0.88,0.06,0.02,0.04,0.06,0,0,1,1,0.642325757793271,1.06,1,0.03,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0.936170212765957,0.94
"73",73,0.9,0.94,0.88,0.04,0.06,0.02,0.04,0,0,1,1,0.635223485065998,1.04,1,0.02,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.956521739130435,0.96
"74",74,0.94,0.94,0.9,0.02,0.04,NA,0.02,0,0.04,0.96,1,0.63253134881147,1.02,1,0.05,0.01,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0.978260869565217,0.979166666666667
"75",75,0.94,NA,NA,NA,NA,NA,0.04,NA,0.96,NA,1,NA,1,0.96,1,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83",83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
