"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","81","83","85","87","94","98","99","100"
"12",33,43,35,44,NA,NA,65,47,42,51,25,71,67,64,34,79,48,38,60,47,32,15,38,67,37,NA,32,21,44,44,26,27,30,29,46,37,21,8,19,32,13,14,24,NA,5,38,41,39,36,22,7,14,31,38,40,31,37,43,30,21,10,29,15,29,25,31,20,30,18,11,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"13",34,46,34,39,NA,NA,63,44,48,54,25,71,67,61,43,93,49,42,60,42,31,16,34,62,36,NA,30,25,45,42,24,30,26,27,40,36,20,9,16,39,19,18,23,NA,3,42,41,34,35,23,12,17,28,43,37,32,36,40,29,28,8,30,14,29,21,31,19,30,17,7,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"14",33,45,35,39,NA,NA,75,42,43,51,26,75,67,63,36,80,50,38,61,44,26,16,38,66,36,NA,33,24,49,37,22,39,30,25,44,31,14,14,24,33,13,16,20,NA,3,32,39,39,33,21,9,17,28,41,32,35,37,35,31,23,9,38,14,35,26,30,19,30,16,10,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"15",33,42,35,41,NA,NA,68,46,44,53,25,71,67,60,36,80,48,40,60,46,31,15,37,69,37,NA,32,24,43,46,22,31,29,23,41,37,18,9,17,36,15,17,21,NA,5,40,43,36,32,23,8,14,22,45,37,34,31,37,31,22,11,31,15,31,25,32,20,30,17,9,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"16",34,45,34,43,NA,NA,66,42,45,53,23,73,67,67,32,85,48,38,65,47,27,14,32,61,38,NA,34,22,54,43,29,30,27,32,40,31,18,13,16,33,15,18,23,NA,3,40,40,37,39,25,9,15,23,41,32,27,29,32,29,24,9,32,15,35,26,30,24,30,16,11,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"17",36,42,35,42,NA,NA,70,46,45,54,25,75,66,65,36,82,50,41,60,41,29,14,37,62,34,NA,30,24,46,40,24,32,31,25,41,30,19,9,21,39,15,17,25,NA,3,37,40,36,35,19,7,13,26,39,32,34,30,36,26,26,9,33,17,33,23,30,32,30,16,8,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"18",32,43,34,43,NA,NA,69,43,43,52,26,76,67,62,38,80,45,39,58,48,29,14,36,68,37,NA,35,27,43,44,24,31,21,29,41,39,18,7,17,31,16,19,22,NA,3,38,40,43,38,21,7,15,30,42,38,27,30,36,27,22,11,27,16,33,28,29,21,30,17,8,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"19",37,42,34,41,NA,NA,63,43,42,54,26,73,67,65,34,79,45,37,58,54,28,15,38,66,37,NA,36,34,45,38,22,33,33,23,45,32,18,10,15,36,14,17,21,NA,5,31,42,38,37,23,9,18,26,42,28,34,34,34,30,23,9,31,16,32,21,30,26,30,14,11,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"20",36,42,34,41,NA,NA,69,46,45,58,26,72,66,64,38,86,46,35,64,46,31,16,35,64,42,NA,31,22,46,39,24,31,24,28,40,37,18,6,17,34,14,16,23,NA,4,42,41,37,31,21,9,16,27,38,37,28,35,37,27,28,11,35,18,30,22,29,23,30,16,8,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"21",33,49,34,42,NA,NA,66,44,42,56,26,76,67,66,36,85,50,38,63,45,29,18,42,60,37,NA,37,24,48,50,19,31,26,26,43,33,17,10,17,34,15,14,23,NA,4,37,39,37,30,23,8,13,31,46,32,37,30,34,33,20,8,31,15,29,21,30,21,30,15,12,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
