"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"55",55,3.98,3.06,2.04,1.4,0,0.32,1.18,1.92,0.94,6.82,7.1,7.60004756288714,10.86,7.76,0.193753690753691,0.284679098679099,0.131470130135606,0.251657809817926,0.674431051390469,0.417717721971141,0.547095273055381,0.417972984759953,0.370241331869241,0.283249544075481,0.127095238095238,0.0556666666666667,0.155287568399066,0.0727352690594984,0.615333333333333,0.451309523809524
"56",56,3.06,2.46,1.82,0.3,0.18,1.14,2.16,1.54,0.76,7.98,8.16,5.81095912977833,12.44,8.74,0.230065601065601,0.295024642024642,0.0908334846302124,0.174956812648935,0.564211407968034,0.289037175789616,0.115524530093324,-0.235188152481408,0.0334795286714334,0.167171763224792,0.0473333333333333,0.148,0.0648518470297103,0.190434779420906,0.903,0.465063492063492
"57",57,2.46,2.32,1.4,0.8,0.68,0.48,1.38,1.16,0.26,9.26,5.42,5.30242105152759,12.06,9.52,0.134778388278388,0.208338827838828,0.0276139675123154,0.116309949162094,0.42941375542707,0.386752815683545,0.284715536470192,0.295822220212857,0.209328583548823,0.0899961934066053,0.0746666666666667,0.0853333333333333,0.109364328066869,0.121142631632507,0.612847222222222,0.284599567099567
"58",58,2.32,0.92,0.28,0.38,0.38,0.98,0.74,0.36,2.14,8.28,5.02,3.88945157398777,11.52,10.42,0.247012876012876,0.0941795981795982,0.2308049188404,0.0449449058099193,0.994900760408305,0.445594616074251,0.514814589103268,0.141836574643621,0.453480053289472,0.190615474653985,0.383333333333333,0.212121212121212,0.492431346098778,0.190615474653985,0.431034482758621,0.21694733044733
"59",59,0.92,1.54,0.64,0.92,1.02,0.28,0.48,0.3,0.32,8.32,2.4,2.56460845222919,9.42,8.64,0.0786223776223776,0.0786512376512376,0.0367056856211777,0.0363577759043043,0.138629436111989,0.438993214354632,0.115524530093324,0.252053520203616,0.0050120440704844,-0.0591207758482707,0.0319148936170213,-0.035,0.0553763762860507,-0.0162186043243266,0.434782608695652,0.157374458874459
"60",60,1.54,3.78,1.26,0.06,0.86,0,0.44,1,1.48,7.14,6,3.7534446508627,10.06,8.62,0.189969696969697,0.14299494949495,0.190301362128816,0.133440547323375,0.187727361401652,1.1063336109443,0.1782378464297,0.549838709484826,0.194081210556785,0.606439316982556,0.13,0.405,0.180218266945586,0.598330014820393,0.95,0.436309523809524
"61",61,3.78,1.14,0.72,0.02,0.02,0.2,1.58,1.14,4.78,3.36,10.08,6.18757281760029,10.86,8.14,0.587382284382284,0.2497668997669,0.914452664530394,0.299947050883254,1.31959976017578,0.173286795139986,1.33290387055296,0.158433641270845,1.31762715817021,0.182407152778933,0.743666666666667,0.302083333333333,1.30255874120151,0.16416643750104,0.972972972972973,0.777666666666667
"62",62,1.14,0.44,0.44,0.54,0,0.56,0.06,0.08,0.18,4.32,1.36,0.909513721782907,4.64,4.5,0.047047619047619,0.0306666666666667,0.0365896844866746,0.0188001451698294,0.283560210229069,0,0.192540883488874,0,0.0970406052783923,0,0.11,0,0.166355323334387,0,0.448979591836735,0.248
"63",63,0.44,0.64,0.36,0.36,0.48,0.2,0.02,0,0.32,4.08,1,0.656967546205989,4.42,4.4,0.0756666666666667,0.005,0.0805961208216906,0,0,0,0,0,0.0385081766977747,-0.105478918780861,0.0138888888888889,0,0.0385081766977747,0,0.5,0.161
"64",64,0.64,0.74,0.14,0.02,0.36,0,0.46,0.68,0.92,3.16,2.44,1.58941451007266,5.22,4.08,0.261428571428571,0.218095238095238,0.283696732389131,0.213565574442732,0,0.198042051588556,NA,0.231049060186648,0,0.192540883488874,0.757575757575758,0.53125,0,0.231049060186648,0.875,0.0986666666666667
"65",65,0.74,0,0,0,0,0.4,0.28,1,0.58,3.26,2.66,NA,5.12,3.84,0.167261904761905,0.248333333333333,0.163028431288971,0.264221512405384,NA,NA,NA,NA,0.0577622650466621,NA,0.65625,NA,0.115524530093324,NA,NA,0.249
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,0,8.6,0,0,0.78,0,18,8.22,2.72,1.54,30.34,NA,30.48,4.26,0.678600201099276,0.859286390603547,1.06767026104314,1.89250691574699,NA,NA,NA,NA,NA,1.97943940342225,NA,0.910251082251082,NA,1.97943940342225,NA,0.920138888888889
"68",68,8.6,3.56,1.1,0.48,0,0.42,13.96,2.56,7,2.76,25.2,22.825198938051,26.28,9.76,0.798596374250249,0.627835780042154,1.30027602867303,0.669839397286935,1.89580199206724,0.970606329221229,1.89672504771648,NA,1.53542640518495,0.885954902585285,0.734542901542902,0.511095238095238,1.38804456187645,0.683812656562497,0.710227272727273,0.622789115646258
"69",69,3.56,0.9,0.24,0.2,0.3,0.18,16.36,0.96,3.78,1.54,21.42,14.6139182202365,22.64,5.32,0.888508591450926,0.765418149542635,1.18639499329753,0.439498231285867,1.36498185585326,0.325774448950555,1.39390072033686,-6.15585900155659e-18,1.22189117663116,0.191146665368308,0.808904761904762,0.379385964912281,1.00282886946334,0.137827651479081,0.535087719298246,0.174418604651163
