"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"68",68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",69,0,0.58,0,0,0,0,0.06,0.62,0,1,1.26,NA,1.68,1,0.0233333333333333,0.3,0,0.406736686151024,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0.58
"70",70,0.58,0.46,0.1,0.08,0,0.2,0.4,1.3,0.16,1.46,2.3,1.50191597020865,3.32,1.62,0.174666666666667,0.504,0.110903548889591,0.656314811687796,0.138629436111989,0,0,NA,-0.0462098120373297,0,0.5,0.666666666666667,0,0,0.555555555555556,0.253333333333333
"71",71,0.46,0.46,0.18,0.48,0.04,0.38,0.02,0.46,0.08,2.68,1.02,0.791758475009302,3.24,2.76,0.0333333333333333,0.148,0.0337279790714046,0.177885176500054,0,0,0,0,-0.0511931276922301,0.0924196240746594,-0.0135135135135135,0.236842105263158,-0.0313889225333746,0.0462098120373297,0.283333333333333,0.164
"72",72,0.46,1.34,0.26,0.3,0.48,0.24,0.9,1.08,0.22,2.92,2.94,1.94087886288687,5.12,3.14,0.195722222222222,0.369079365079365,0.081886891244442,0.334733341926043,0,0.479871125003039,-0.106638027778453,0.693147180559945,0,0.367913859127771,0.0789473684210526,0.390070921985816,0,0.349673143849877,0.464285714285714,0.23
"73",73,1.34,1.42,0.86,0.42,0.32,0.04,1.1,0.32,0.64,3.36,3.42,2.95670597637048,5.42,4,0.302785714285714,0.243547619047619,0.178617101334572,0.102545796327457,0.227987816280425,0.30292264661123,-0.0575364144903562,0.106638027778453,0.23847101967267,0.152852852368909,0.135,0.115646258503401,0.115476476783472,0.152852852368909,0.691489361702128,0.410666666666667
"74",74,1.42,0.66,0.12,0.02,0.02,0.14,1.06,0.68,1.56,2.12,3.86,2.75120577509171,5.42,3.68,0.480547619047619,0.309190476190476,0.627004563107484,0.301360898578093,0.346573590279973,0.346573590279973,0.231049060186648,0.277258872223978,0.207075554149,0.346573590279973,0.78125,0.844827586206897,0.173286795139986,0.346573590279973,0.916666666666667,0.19
"75",75,0.66,1.16,0.44,0.26,0.04,0.04,0.62,0.9,0.24,2.56,2.24,1.58371991726799,4.32,2.8,0.186333333333333,0.358666666666667,0.0944590644328895,0.35011037050916,0.0660140171961853,0.264056068784741,0.115524530093324,0.231049060186648,0.0542957414917592,0.341264245380116,0.188034188034188,0.458333333333333,0.0542957414917592,0.263610912574241,0.640625,0.183333333333333
"76",76,1.16,1.86,0.46,0.04,0.06,0.44,1.72,2.62,0.64,2.82,6.36,4.67420720614248,7.8,3.46,0.298032634032634,0.545807192807193,0.204413952257788,0.66183371859016,0.150684169686945,0.660744433529556,-0.333197087624611,0.770539951549338,0.181538547289509,0.695579292949478,0.228260869565217,0.670212765957447,0.214545555887602,0.644235057352444,0.92,0.506666666666667
"77",77,1.86,3.64,1.56,1.24,0.2,0.12,0.68,1.9,0.2,5.24,5.02,6.67370689743674,8.02,5.44,0.108439393939394,0.319300865800866,0.0372769916025917,0.321826316237246,0.147639771847726,0.814688178709351,-0.0012986466955808,0.640294499831999,0.0541610040220442,0.50657329240979,0.024,0.232738095238095,0.032188758248682,0.302022547026614,0.550333333333333,0.440968253968254
"78",78,3.64,4.36,1.56,0.3,0.7,0.64,2.68,3.02,1.8,5.34,11.08,9.26720635239562,12.84,7.14,0.35017649017649,0.445518814518815,0.292467549234038,0.459115007004693,0.831965346833802,1.03355123340562,0.342292445657579,0.493490246722145,0.492566473984231,0.667765534053171,0.346,0.419190476190476,0.464274752328723,0.612313759608376,0.876241134751773,0.678690476190476
"79",79,4.36,2.62,2.22,1.3,0.3,0.92,2.72,0.34,1.7,6.66,8.1,9.64725246787288,11.42,8.36,0.382372183372183,0.267634698634699,0.226024894238793,0.051050848206803,0.742598669656778,0.170583431862033,0.221066015854962,0.0189027488301508,0.258090146724199,0.031620768758248,0.0883809523809524,0.009,0.109076503146202,0.0198650354602057,0.633,0.507031746031746
"80",80,2.62,2.12,1.04,0.82,0.52,0.2,1.36,0.88,2.12,4.88,6.6,7.5342261198211,9.24,7,0.378891774891775,0.239919913419913,0.378670301791588,0.168070570745502,0.794231107421517,0.56204857209371,0.54534425334368,0.137520025385868,0.520278614527051,0.213471915484644,0.332333333333333,0.172666666666667,0.450612902248261,0.229690519808971,0.579861111111111,0.466095238095238
