"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"53",53,0,0,0,0,0,0,0,0,0,0.12,0,NA,0.12,0.12,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54",54,0,0,0,0,0,0,14.26,10.74,0,0.12,25,NA,25.12,0.12,0.567846153846154,0.995384615384615,0,2.49493508870826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"55",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",56,0,0,0,0,0,0,8.28,0.3,0.82,10.04,11.04,NA,19.44,10.86,0.469114291968781,0.442318076832009,0.0784020792782005,0.0286631152628497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.165617327117327
"57",57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",58,0,0,0,0,0,0,6.7,3.24,2.88,7.46,17.02,NA,20.28,10.34,0.47307668050231,0.490778510835719,0.336218542719758,0.368232833873628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567396825396825
"59",59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",60,0,0,0,0,0,0,5.14,3.96,4.86,5.84,14.7,NA,19.8,10.7,0.505616650321456,0.459261356522361,0.613532587627904,0.522429210449617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130984126984127
"61",61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",62,0,8.42,0,0,0.88,0,13.62,7.84,1.2,8.6,24.34,NA,31.26,9.8,0.474648161055975,0.687433715880258,0.130676502629646,0.654847204943823,NA,NA,NA,NA,NA,2.01195499833027,NA,0.894333333333333,NA,2.01195499833027,NA,0.197851370851371
"63",63,8.42,0,0,0,0,2.7,7.2,3.36,7.14,9.3,20.1,NA,27,16.44,0.530294196822184,0.388825266912804,0.578614223075743,0.308277021736085,NA,NA,NA,NA,1.2409208381124,NA,0.676402597402597,NA,1.2409208381124,NA,NA,0.2539888999889
"64",64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",65,0,0,0,0,0,0,25.84,1.26,5.96,6.7,34.28,NA,39.76,12.66,0.800268951580427,0.682569360819742,0.638824202604691,0.172454712410278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.188920634920635
"66",66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",67,0,15.58,0,0,2.12,0,7.94,12.56,0.56,7.4,25.18,NA,28.46,7.96,0.295997102263287,0.71950668783077,0.0759322430783364,1.00575323289379,NA,NA,NA,NA,NA,2.06552603444784,NA,0.860120777141675,NA,2.06552603444784,NA,0.562126984126984
"68",68,15.58,10.02,3.3,0.42,0,0,34.28,7.9,11.8,8.16,60.14,24.3309677751463,62.14,19.96,0.74156350838304,0.678700469664649,0.906653351511823,0.685770874293092,1.60778907567715,1.1617576770657,NA,NA,1.50140424924701,1.07030538733727,0.742084965086513,0.600402874902875,1.40492706150795,0.973828199598212,0.889333333333333,0.753129148629149
"69",69,10.02,0,0,0,0,5.56,11.78,1.58,8.58,7.48,24.38,NA,29.42,16.06,0.693108789430814,0.455415457791292,0.776967032181067,0.198174104096541,NA,NA,NA,NA,0.613245925171048,NA,0.43584632034632,NA,0.613245925171048,NA,NA,0.330765512265512
"70",70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71",71,0,0,0,0,0,0,12.62,2.48,5.66,3.4,22.02,NA,24.16,9.06,0.756790934669196,0.624621252016904,1.01530064157559,0.569268075582361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.380666666666667
"72",72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73",73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",75,0,0,0,0,0,0,23.76,6.14,4.3,1.58,34.9,NA,35.78,5.88,0.784112883379137,0.83578418513403,1.27030541196698,1.53877777970979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.434782608695652
