"",37,45,34,38,NA,NA,64,43,43,54,26,75,66,63,36,85,46,38,57,54,26,18,36,60,40,NA,33,27,44,45,24,30,25,28,39,34,17,8,17,34,12,19,20,NA,4,35,42,41,35,20,7,14,28,45,37,30,35,39,23,24,10,29,19,29,25,29,23,30,16,9,13,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",34,46,34,42,NA,NA,73,42,42,54,25,75,66,58,35,80,44,38,57,47,30,15,41,65,39,NA,31,26,48,45,25,34,27,29,41,33,18,8,17,30,15,17,23,NA,6,39,37,38,36,22,7,14,25,50,31,29,36,37,25,23,10,35,17,28,25,30,25,30,15,9,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",34,46,35,43,NA,NA,63,46,42,54,27,74,68,58,40,80,45,39,62,44,28,13,37,62,34,NA,34,19,46,42,22,32,32,30,46,28,17,9,16,35,15,18,22,NA,5,36,44,39,33,24,7,15,24,41,43,31,34,37,26,25,11,35,17,30,26,29,23,30,19,8,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",37,47,35,41,NA,NA,71,42,46,53,26,72,66,67,36,76,50,40,64,48,28,14,37,64,39,NA,31,23,42,44,22,31,29,30,42,34,18,8,17,35,14,16,24,NA,4,37,38,41,31,24,9,17,26,44,33,34,33,41,28,22,7,38,15,34,21,29,25,30,16,10,13,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,46,34,43,NA,NA,65,46,43,55,27,73,67,62,35,81,52,38,64,41,30,16,33,62,37,NA,32,26,48,40,26,29,29,26,43,31,20,8,17,33,15,25,22,NA,3,35,38,39,31,21,9,11,28,48,35,29,36,39,25,22,9,33,14,30,28,30,23,30,19,10,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",34,45,34,42,NA,NA,71,44,44,51,25,72,66,66,37,78,47,37,60,46,27,14,40,61,43,NA,34,26,54,43,28,31,28,27,42,33,21,9,16,33,12,19,20,NA,4,39,41,37,33,24,8,14,28,43,32,31,36,37,29,22,10,36,17,30,23,31,29,30,16,9,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",33,42,34,42,NA,NA,64,46,45,53,24,72,68,64,37,80,47,40,58,40,26,14,37,64,33,NA,34,31,44,40,24,34,21,28,41,32,18,9,16,34,14,14,24,NA,4,40,38,34,33,21,9,14,22,39,30,35,29,46,29,26,10,32,13,32,24,29,24,30,16,11,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",31,43,35,43,NA,NA,65,44,39,55,25,72,66,63,35,102,47,40,61,42,27,12,36,64,32,NA,29,25,44,45,24,36,23,28,45,32,19,11,18,32,13,19,20,NA,3,38,42,40,33,23,6,15,24,43,32,31,32,34,28,24,10,32,14,31,24,29,23,30,15,9,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",33,44,35,43,NA,NA,72,42,43,54,26,72,66,66,39,84,44,37,58,45,31,11,38,68,39,NA,32,23,53,43,20,32,25,24,42,32,15,15,18,32,11,14,20,NA,5,32,40,37,32,19,7,15,31,41,34,37,32,40,28,23,12,41,17,33,24,29,24,30,16,11,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",33,46,36,44,NA,NA,67,44,42,52,25,74,66,65,39,88,48,40,57,46,31,14,38,65,35,NA,34,26,52,44,27,32,29,24,46,32,17,10,17,36,14,19,29,NA,5,37,40,42,35,27,8,14,26,44,31,29,34,37,28,24,11,35,15,31,24,30,27,30,16,8,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,42,34,47,NA,NA,67,44,47,56,25,72,66,59,37,83,43,42,62,43,30,17,32,66,35,NA,32,25,47,49,24,26,26,28,42,30,21,9,15,35,12,15,27,NA,5,34,38,40,40,22,9,13,29,44,32,33,34,38,31,24,8,35,13,30,25,31,21,30,15,8,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",36,45,34,42,NA,NA,63,45,41,53,26,74,68,60,37,78,46,41,58,48,28,18,30,66,41,NA,34,21,51,39,22,34,29,23,43,30,19,6,16,32,13,20,20,NA,3,37,42,35,34,24,8,15,23,40,36,30,35,41,32,24,12,37,15,33,23,30,21,30,16,10,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",35,40,35,45,NA,NA,71,44,44,56,25,76,66,57,36,90,46,41,58,43,26,16,34,63,42,NA,34,20,47,47,23,38,26,25,43,31,20,10,18,36,16,17,27,NA,3,35,39,38,36,24,9,16,24,39,39,29,33,37,28,23,10,31,19,31,26,29,23,30,16,10,15,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",38,44,35,43,NA,NA,67,43,47,55,24,75,66,61,40,86,48,36,60,46,28,16,41,63,36,NA,33,21,52,50,22,32,31,22,42,35,16,8,18,38,15,17,20,NA,4,39,38,37,34,19,6,16,27,41,32,35,34,34,26,30,13,33,14,28,23,29,20,30,18,9,13,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,41,34,45,NA,NA,69,43,44,57,26,76,67,62,40,85,50,36,63,46,28,14,40,66,37,NA,34,25,44,44,24,35,22,25,40,37,17,10,17,36,12,16,17,NA,6,37,39,42,40,22,7,11,28,45,35,25,32,38,36,29,12,31,16,29,25,30,23,30,20,8,14,NA,11,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",36,42,34,45,NA,NA,69,42,48,52,25,78,66,58,38,80,45,41,65,51,27,15,34,63,39,NA,31,25,50,43,26,30,28,27,43,35,17,14,16,36,15,17,24,NA,3,39,38,38,39,22,8,16,27,43,36,32,30,37,26,23,8,35,15,32,26,29,22,30,15,11,13,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,48,35,47,NA,NA,68,43,48,55,25,77,66,58,33,85,47,39,65,55,28,16,37,63,39,NA,32,28,50,44,25,37,26,28,45,35,26,6,16,33,17,15,19,NA,4,40,36,38,34,21,8,15,28,37,32,36,33,37,28,26,9,31,14,35,28,29,24,30,18,9,14,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",37,41,34,41,NA,NA,66,45,47,58,24,77,66,63,39,83,49,40,61,44,27,14,40,63,42,NA,34,24,45,43,25,36,29,28,42,31,15,11,15,36,16,18,22,NA,5,35,37,43,35,25,10,18,27,46,32,28,31,33,26,25,12,28,15,34,26,30,23,31,16,12,14,NA,13,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",32,46,34,40,NA,NA,70,43,44,55,27,72,66,64,38,75,49,34,57,43,28,15,34,62,38,NA,35,27,49,46,23,29,28,31,42,29,16,11,17,31,18,16,21,NA,4,34,42,36,32,20,9,16,24,44,30,30,30,40,26,30,9,33,16,30,27,30,28,30,18,8,14,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
"",36,45,35,40,NA,NA,72,43,43,54,27,76,66,57,30,84,46,34,56,46,30,13,38,64,36,NA,34,21,46,46,23,41,25,27,44,32,18,10,17,32,15,17,19,NA,3,36,42,38,37,20,9,15,31,38,31,28,33,38,28,20,12,37,16,35,22,30,23,30,13,8,15,NA,12,NA,NA,NA,NA,NA,1,NA,NA,1,1
