"","binno","t2d","t2u","t3","tPart","tGFd","tGFu","tSing","tOri","tExt","tThrough","divSIB","divCSIB","divRT","divBC","extProp","oriProp","extPC","oriPC","ext3t","ori3t","extC3t","oriC3t","extGF","oriGF","E2f3","O2f3","ext2f3","ori2f3","samp3t","sampRange"
"70",70,2.1,1.9,0.42,0.9,2.38,0.44,3.78,2.42,1.66,14.02,10.52,8.84998271948342,21.88,15.68,0.249142184385663,0.284197447480056,0.112989176886595,0.160510695349037,0.802407563133206,0.625457281159526,0.135155036036055,0.214868199539468,0.549077377815154,-0.271501151445275,0.365333333333333,0.0187074829931973,0.512510858034989,0.028291721655508,0.239130434782609,0.188118938251291
"71",71,1.9,7.12,0.08,0.68,0.9,1.64,10.52,7.12,3.42,13.02,25.32,15.7708293592429,34.08,16.44,0.406624158044061,0.517694094014137,0.234397625498339,0.440473512427565,0.895879734614027,2.05936982215341,0.594886533532544,1.78236917690582,0.0750297333492934,1.51416581115361,0.159863945578231,0.740570707070707,0.209300166247459,1.38108602631094,0.109375,0.327991410550234
"72",72,7.12,3.2,2.14,1.92,1.84,0.62,3.9,3.04,4.74,15.4,16.28,16.6574863419687,27.08,20.14,0.320196776645649,0.25419943230116,0.273686709890035,0.178963866417996,1.25388943944061,0.405947388479314,NA,0.11045818806976,0.676311283070199,-0.162895397810187,0.36031240981241,-0.12502380952381,0.493324969667431,-0.103610686617833,0.545238095238095,0.299369503303714
"73",73,3.2,2.7,0,0.58,0.98,0,7.08,2.06,6.68,11.76,18.98,NA,27.58,18.44,0.499752337799077,0.33307570874598,0.452790826901948,0.165219585225358,NA,NA,NA,NA,1.41418958491925,0.708324551389301,0.706571428571429,0.430333333333333,0.721042404359309,0.549057043013473,0,0.269360722610723
"74",74,2.7,0,0,0,0,1.38,1.5,0.84,2.76,11.06,7,NA,16.16,13.82,0.265000378964001,0.147195807202773,0.224562498481259,0.0760064027461684,NA,NA,NA,NA,0.556469983310854,NA,0.508333333333333,NA,0.589513879310412,NA,NA,0.173497890997891
"75",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76",76,0,4.14,0,0,0.66,0,12.54,5.16,2.98,8.92,23.62,NA,29.6,11.9,0.524173603854638,0.59794978126249,0.293936201392504,0.462283886725448,NA,NA,NA,NA,NA,1.18008082564889,NA,0.821666666666667,NA,1.18008082564889,NA,0.329113997113997
"77",77,4.14,1.56,1.32,0.34,0,0,0.32,0.32,2.74,11.34,5.4,3.34738704551259,14.72,14.08,0.205730060874798,0.0422055289052193,0.217031065297122,0.0283640634772175,1.11522444878023,0.143863250400086,NA,NA,1.01542201294002,0.143340757538244,0.545333333333333,0.0833333333333333,0.860302951836133,0.121368511764882,0.8,0.181688172938173
"78",78,1.56,0,0,0,0,0.3,0,0.04,1.38,10.28,2.5,NA,11.7,11.66,0.119461091196385,0.004,0.129609972721855,0.00471132142625534,NA,NA,NA,NA,0.323468684261308,NA,0.760416666666667,NA,0.323468684261308,NA,NA,0.10374691974692
"79",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80",80,0,1.82,0,0,0.6,0,0.98,1.76,0.54,9.78,4.02,NA,13.06,10.32,0.114635544194368,0.208535693065105,0.0535879687859633,0.166492569935672,NA,NA,NA,NA,NA,0.483465826353995,NA,0.596666666666667,NA,0.483465826353995,NA,0.0781445221445221
"81",81,1.82,0.88,0,0,0,2.02,2.54,2.06,0.78,10.76,7.8,NA,16.14,11.54,0.202871403498911,0.283817059494102,0.0730854432223094,0.179055974972377,NA,NA,NA,NA,-0.126249155589806,NA,0.116666666666667,1,0.137991280996001,NA,NA,0.228035964035964
"82",82,0.88,0.76,0.72,2.72,0.56,0,0.04,0.04,0.16,12.66,1,1.73990624497108,12.9,12.82,0.0166153013653014,0.00607692307692308,0.0140221446671789,0.00298071158320976,0,0,NA,NA,0.0518053433089165,-0.145293176409517,0,-0.143333333333333,0,-0.123320930636155,0.209,0.0596048673548674
"83",83,0.76,0,0,0.02,0,0.02,5.46,1.54,4.22,8.48,11.44,NA,19.7,12.7,0.493569775257721,0.357378876646005,0.411429655585799,0.171653607209071,NA,NA,NA,NA,0,0,0.974358974358974,0,0,0,0,0.0262222222222222
"84",84,0,3.38,0,1.72,0.04,0.04,0.4,2.34,0.08,9.94,3.86,NA,12.76,10.02,0.0376188419423714,0.216729347449936,0.00867729165259725,0.215546589481744,NA,NA,NA,NA,-0.0147478123523393,1.12232239760495,-0.0177304964539007,0.359333333333333,-0.0147478123523393,0.440643227698891,0,0.10414035964036
"85",85,3.38,9.24,0.68,0,0.28,0.24,23.58,11.84,7.84,4.44,47.2,23.0223378651926,47.7,12.28,0.658926891710456,0.742186104410757,1.06309269641809,1.34594566726036,1.16459192812853,2.049780327764,0.180306502209032,NA,1.00337085776847,1.98484634111802,0.749333333333333,0.892194083694084,1.00337085776847,1.98484634111802,1,0.895428571428571
"86",86,9.24,7.48,3.7,5.46,0,0.88,10.86,3.76,4.98,11.3,24.12,31.6413156130683,30.9,16.28,0.513264139690013,0.473769141423823,0.372173564720567,0.292957484070709,0.97192536792701,0.757365085893262,0.896399600844782,0.787643249595663,0.391537512784203,0.356514351372178,0.08422230710466,0.0153626373626374,0.0957777305658011,0.0163825396684101,0.406780996780997,0.405924408924409
"87",87,7.48,0.96,0.4,0.14,1.28,0,16.14,0.46,10.9,4.16,29.78,15.3814632522457,31.66,15.06,0.854286840628804,0.523806083117532,1.30288807473213,0.103455082871454,1.89695246508008,0.268491070086343,NA,-0.64086727188679,1.9507694708543,-0.300450662496825,0.913038239538239,0.027027027027027,1.75231954948613,0,0.717391304347826,0.561
"88",88,0.96,0,0,0,0,2.18,0,0,1.26,3.36,1.84,NA,4.62,4.62,0.244619047619048,0,0.304993903348576,0,NA,NA,NA,NA,-0.477177124798744,NA,0.0380952380952381,NA,0.0511931276922301,NA,NA,0.180666666666667
"89",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",90,0,NA,NA,NA,NA,NA,2.74,NA,3.36,NA,6.1,NA,6.1,3.36,1,0.449523809523809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
