"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99"
"25",NA,NA,13,18,17,10,18,8,10,9,5,14,6,23,11,10,12,6,18,NA,NA,5,14,15,9,3,4,14,19,18,22,21,19,25,13,28,29,35,28,41,25,19,32,17,16,15,57,44,16,28,13,14,59,54,86,104,92,95,84,75,62,34,15,21,28,27,41,60,52,32,32,74,104,112,52,39,43,42,45,46,47,48,42,23,37,35,33,12,36,18,4,5,5,1,NA,4,NA,1,NA
"26",NA,NA,10,14,15,10,17,9,10,8,5,12,3,21,10,12,11,5,19,NA,NA,6,14,15,8,3,6,13,16,20,20,21,22,25,13,26,30,34,24,47,22,15,25,13,13,17,47,49,16,27,13,12,62,54,92,100,89,93,78,82,62,28,12,30,33,32,42,48,53,30,32,76,106,105,57,47,47,39,51,54,44,44,45,22,33,31,41,12,34,19,4,5,4,1,NA,3,NA,1,NA
"27",NA,NA,16,18,11,10,14,8,9,8,5,12,2,23,12,9,10,5,15,NA,NA,6,12,17,7,3,3,13,19,18,20,20,22,27,15,29,32,34,26,44,27,14,24,20,11,13,52,44,18,22,15,16,61,52,93,103,88,87,82,67,69,32,13,27,33,33,40,45,46,39,30,80,100,99,50,37,41,39,50,45,45,53,55,25,34,27,35,14,30,15,5,5,3,1,NA,5,NA,1,NA
"28",NA,NA,13,16,16,10,14,11,12,7,4,12,2,18,12,10,13,6,16,NA,NA,6,17,20,8,2,3,12,18,18,21,22,18,30,10,28,29,30,26,45,25,17,24,18,9,17,46,40,15,23,13,14,53,57,98,106,97,98,82,81,66,27,13,29,36,32,44,53,50,33,35,85,99,108,57,45,48,39,47,48,47,46,45,24,29,33,33,14,30,17,5,5,8,1,NA,4,NA,1,NA
"29",NA,NA,11,16,18,11,17,8,10,8,4,10,2,24,11,13,10,5,14,NA,NA,7,17,15,7,2,5,13,21,17,21,21,19,26,11,29,27,34,27,41,26,16,28,19,10,13,43,41,14,22,12,13,57,75,107,97,95,92,82,74,61,27,16,29,28,41,40,45,58,39,36,76,106,99,50,37,48,42,55,46,45,54,47,27,35,32,31,17,32,18,4,5,3,1,NA,3,NA,1,NA
"30",NA,NA,10,16,15,10,16,9,9,7,7,12,1,20,9,11,10,8,14,NA,NA,6,17,17,8,2,4,12,19,17,19,21,19,28,14,25,29,33,26,42,26,15,23,14,12,12,47,47,14,26,13,12,54,59,85,95,90,105,83,79,64,29,14,26,32,30,39,54,54,38,34,73,108,101,57,43,44,42,49,47,48,48,48,22,36,34,34,13,35,15,5,5,5,1,NA,3,NA,1,NA
"31",NA,NA,11,15,13,11,15,11,8,7,4,12,1,20,11,9,11,6,19,NA,NA,6,14,14,8,2,4,14,18,19,19,20,19,26,16,28,34,36,28,48,24,16,22,19,13,17,45,39,16,24,13,10,59,59,90,105,94,95,81,81,60,33,12,31,31,30,37,50,51,30,32,72,105,110,54,41,44,39,45,46,44,48,48,25,30,33,35,14,33,18,4,5,6,1,NA,3,NA,1,NA
"32",NA,NA,12,14,16,10,16,9,10,8,4,14,1,24,10,15,12,5,17,NA,NA,7,14,14,9,3,4,14,20,16,20,21,15,28,15,29,28,37,29,42,23,14,24,21,11,12,50,48,12,26,11,11,53,63,96,99,88,98,93,80,70,25,14,26,27,29,45,52,47,33,43,71,102,107,61,51,51,45,45,49,48,44,37,28,37,31,32,15,33,22,4,5,4,1,NA,5,NA,1,NA
"33",NA,NA,10,16,17,10,16,8,11,7,4,13,1,23,11,10,15,6,15,NA,NA,6,13,17,7,3,5,14,19,15,21,22,20,29,12,28,30,43,24,44,23,18,23,18,12,16,50,45,21,23,12,9,53,57,90,95,94,98,82,83,68,30,14,27,33,29,36,47,53,35,35,78,102,103,61,41,42,44,45,51,42,44,48,22,35,32,36,14,34,21,5,5,4,1,NA,4,NA,1,NA
"34",NA,NA,11,16,13,11,15,8,11,8,4,14,1,19,12,13,13,5,18,NA,NA,5,16,16,9,2,6,16,20,15,19,21,17,24,12,29,24,30,27,54,27,14,22,16,12,15,45,45,12,25,13,11,55,62,104,100,87,97,88,90,63,29,11,27,32,30,36,57,57,31,33,68,103,104,57,32,48,41,42,53,47,51,52,24,32,36,36,16,30,21,4,5,6,1,NA,4,NA,1,NA
